workId;title;creators;source
89259185;1 1;;SOCAN
216406260;1 + 1 (FEAT. AMIR);;SOCAN
229063510;12 NIGHTS;;SOCAN
229063669;3 MINUTES 'TIL NEW YEARS;;SOCAN
73602115;85 BLOCKS;;SOCAN
228468059;ABOUT U;;SOCAN
35541948;ACADEMIA;;SOCAN
87589612;ACCESS HOLLYWOOD;;SOCAN
87089396;ACCESS HOLLYWOOD LIVE;;SOCAN
75897039;ACID RAIN;;SOCAN
75897039;ACID RAIN F/J.COLE;;SOCAN
213832431;AJ AND THE QUEEN;;SOCAN
203808254;A L INFINI;;SOCAN
83270146;ALIVE;;SOCAN
89193068;ALIVE;;SOCAN
94301286;ALIVE;;SOCAN
76474637;ALL I NEED;;SOCAN
87653970;ALL I NEED;;SOCAN
76558710;ALL MY LOVE I LL SEND;;SOCAN
214460191;AMERICAN IDOL;;SOCAN
215111519;AMERICAN IDOL;;SOCAN
215157313;AMERICAN IDOL;;SOCAN
92228285;AMERICAN IDOL;;SOCAN
92228340;AMERICAN IDOL;;SOCAN
215254073;AMERICA S GOT TALENT;;SOCAN
215258732;AMERICA S GOT TALENT;;SOCAN
215263851;AMERICA S GOT TALENT;;SOCAN
215319584;AMERICA S GOT TALENT;;SOCAN
94724951;AMERICA S GOT TALENT;;SOCAN
213841490;AMERICA S GOT TALENT THE CHAMPIONS;;SOCAN
84168885;ANGEL BY THE WINGS;;SOCAN
200056380;ANGEL IN YOUR EYES;;SOCAN
200700036;ANGEL IN YOUR EYES;;SOCAN
81409935;ANNIE;;SOCAN
94070108;ANTHEM;;SOCAN
224667624;ANY DAY NOW;;SOCAN
76111496;ANY DAY NOW;;SOCAN
76939102;AROUND YOUR LITTLE FINGER;;SOCAN
205376621;ARRESTED;;SOCAN
90723678;ARRESTED;;SOCAN
212177303;AT THE HEART OF GOLD INSIDE THE USA GYMNASTICS SCA;;SOCAN
207934094;AUDIO;;SOCAN
221551289;AUDIO;;SOCAN
91974641;AUDIO;;SOCAN
210465850;BAD COMPANY;;SOCAN
90970760;BAILA SI PUEDES;;SOCAN
84220844;BANG MY HEAD;;SOCAN
94814979;BANG MY HEAD;;SOCAN
94814979;BANG MY HEAD FEAT SIA;;SOCAN
84220844;BANG MY HEAD FEAT SIA AND FETTY WAP;;SOCAN
77141873;BATTLE CRY;;SOCAN
75177021;BATTLEFIELD;;SOCAN
92832512;BEAR GRYLLS SURVIVAL SCHOOL;;SOCAN
215099986;BEAT SHAZAM;;SOCAN
215108158;BEAT SHAZAM;;SOCAN
71055274;BEAUTIFUL CALM;;SOCAN
33311636;BEAUTIFUL CALM DRIVING;;SOCAN
71055274;BEAUTIFUL CALM DRIVING;;SOCAN
79407089;BEAUTIFUL PAIN;;SOCAN
91923697;BEAUTIFUL PEOPLE SAY;;SOCAN
208178057;BEAUTIFUL THINGS CAN HAPPEN;;SOCAN
47599628;BE GOOD TO ME;;SOCAN
74025918;BE GOOD TO ME;;SOCAN
87358830;BEST DAY EVER;;SOCAN
224662569;BEST FRIEND;;SOCAN
89927241;BETTER;;SOCAN
70864271;BIG GIRLLITTLE GIRL;;SOCAN
70864271;BIG GIRL LITTLE GIRL;;SOCAN
75109453;BIG GIRL LITTLE GIRL;;SOCAN
80303621;BIG GIRLS;;SOCAN
91011744;BIG GIRLS;;SOCAN
80303621;BIG GIRLS CRY;;SOCAN
80038611;BILLBOARD MUSIC AWARDS 2014;;SOCAN
217620188;BIRD SET FREE;;SOCAN
79834246;BIRD SET FREE;;SOCAN
32480150;BITING TONGUES;;SOCAN
38538145;BITING TONGUES;;SOCAN
224665411;BLACK BUTTERFLY;;SOCAN
75958870;BLACK BUTTERFLY;;SOCAN
73870006;BLAME;;SOCAN
75519085;BLANK PAGE;;SOCAN
234059058;BLINDED BY LOVE;;SOCAN
79372807;BLINDED BY LOVE;;SOCAN
218827947;BORN YESTERDAY;;SOCAN
224636701;BORN YESTERDAY;;SOCAN
80726687;BOTTLE;;SOCAN
225670281;BOTTOMS UP;;SOCAN
81367708;BOTTOMS UP;;SOCAN
207486784;BOUND TO YOU;;SOCAN
210351565;BOUND TO YOU;;SOCAN
70726070;BOUND TO YOU;;SOCAN
71099496;BOUND TO YOU;;SOCAN
82447538;BOY PROBLEMS;;SOCAN
74970970;BREAK THE WALLS;;SOCAN
76071613;BREAK THE WALLS;;SOCAN
29486569;BREATHE ME;;SOCAN
79351818;BRIGHTEST MORNING STAR;;SOCAN
93107784;BRIGHTEST MORNING STAR;;SOCAN
34578016;BRING IT TO ME;;SOCAN
73871858;BRING IT TO ME;;SOCAN
33311797;BRING NIGHT;;SOCAN
75957150;BRING THE PARTY;;SOCAN
224659842;BRING YOUR ARMS;;SOCAN
75957156;BRING YOUR ARMS;;SOCAN
